#friends,#following,#community,#postshared,avgcomment/post,likes/post,#tags/post,Label
39,300,907,1000,0.56,0.47,14,1
25,110,660,2050,0.7,0.3,21,1
24,100,150,950,0.66,0.5,20,1
50,100,700,2512,0.77,0.32,32,1
1632,1765,54,625,0.52,1.06,14,1
1159,1103,68,625,0.478,1.26,17,1
1489,1325,69,562,0.492,1.26,13,1
1394,1153,58,624,0.511,1.35,16,1
1257,1198,59,681,0.498,1.22,17,1
1159,1030,51,562,0.485,1.24,13,1
1326,1241,60,543,0.364,1.11,14,1
1251,1207,59,598,0.46,0.94,16,1
1473,1399,65,524,0.571,0.91,15,1
54,62,759,2295,0.562,0.2297,28,1
54,3,598,1122,0.564,0.4796,26,1
34,73,563,2001,0.569,0.4831,21,1
23,49,684,1846,0.568,0.4821,24,1
47,5,692,3742,0.625,0.4712,29,1
22,53,635,3303,0.635,0.5,27,1
44,1,982,3456,0.699,0.22,20,1
56,83,629,3216,0.684,0.489,30,1
57,85,784,2102,0.614,0.458,29,1
12,4,999,2445,0.948,0.289,22,1
11,129,888,2326,0.954,0.261,24,1
13,35,992,2001,0.962,0.423,30,1
43,36,603,2223,0.952,0.487,22,1
31,85,651,2745,0.684,0.462,23,1
99,9,532,2864,0.567,0.425,28,1
78,8,521,2210,0.648,0.4657,27,1
65,72,584,2113,0.789,0.1187,26,1
85,72,596,2361,0.854,0.118,21,1
84,74,578,2996,0.958,0.1987,22,1
83,85,521,2456,0.911,0.1843,25,1
32,49,564,3004,0.811,0.1462,22,1
31,5,574,2995,0.611,0.14,26,1
30,98,532,3002,0.711,0.19,22,1
40,99,598,3016,0.659,0.17,28,1
50,75,584,3123,0.852,0.16,27,1
60,75,782,3645,0.854,0.221,26,1
65,64,795,3556,0.856,0.357,30,1
75,84,784,3512,0.953,0.687,26,1
9,93,842,3621,0.981,0.268,21,1
10,4,846,3337,0.853,0.245,24,1
12,43,892,1956,0.88,0.377,29,1
13,65,841,2659,0.99,0.388,28,1
41,74,862,2885,0.77,0.399,24,1
51,3,871,2756,0.66,0.145,26,1
99,85,832,2556,0.55,0.177,25,1
88,89,954,2463,0.96,0.188,31,1
63,42,975,2316,0.663,0.199,30,1
72,32,762,2113,665.0,0.463,22,1
39,27,743,2345,1.0,0.472,29,1
38,28,782,1645,1.0,0.425,27,1
45,29,741,1664,1.0,0.456,21,1
48,33,965,1987,1.0,0.491,22,1
45,44,987,3038,1.02,0.492,29,1
43,55,1156,3346,1.03,0.49,25,1
23,67,1489,3126,0.92,0.48,22,1
22,56,1263,3896,0.93,0.47,24,1
46,45,1789,3785,0.91,0.263,25,1
57,32,1236,3654,0.89,0.41,26,1
58,102,1478,3541,0.87,0.471,20,1
59,43,1259,3125,0.86,0.154,30,1
60,75,1111,3245,0.84,0.126,28,1
73,77,1478,3697,0.59,0.369,30,1
83,98,1369,3564,0.56,0.258,25,1
93,67,1248,3452,0.54,0.159,30,1
23,65,1369,3154,0.665,0.357,21,1
12,74,1254,3541,0.884,0.26,30,1
19,84,1478,3112,0.862,0.247,26,1
18,9,1324,3026,0.862,0.268,24,1
17,8,1239,3365,0.953,0.241,20,1
61,7,1123,3498,0.954,0.143,23,1
88,12,1126,3568,0.982,0.149,27,1
75,2,1184,3649,0.97,0.163,29,1
45,36,1159,1998,1.0,0.362,24,1
36,19,1489,1845,0.654,0.11,25,1
26,18,1421,1945,1.0,0.268,26,1
27,17,1432,1975,0.567,0.295,21,1
109,17,1657,1988,0.87,0.24,24,1
92,16,1478,1756,0.99,0.154,27,1
29,62,1203,1456,1.0,0.126,29,1
38,64,1209,1741,1.0,0.247,28,1
56,97,1236,2465,1.0,0.321,25,1
75,10,1258,3221,1.02,0.495,20,1
85,100,1249,3120,1.04,0.415,21,1
85,89,1269,3111,0.995,0.57,29,1
94,65,1148,3150,0.654,0.268,24,1
94,78,598,3100,0.89,0.289,25,1
8,64,627,3642,0.7765,0.24,23,1
7,66,784,3210,0.8765,0.25,26,1
9,46,633,3205,0.9765,0.26,27,1
10,43,699,3130,0.9967,0.32,21,1
11,76,684,3160,1.0,0.63,28,1
19,79,541,2861,1.0,0.498,29,1
72,76,512,2751,1.0,0.478,24,1
46,2,1133,2658,1.03,0.5,23,1
47,3,1440,2351,1.06,0.44,20,1
4,9,1597,2130,0.912,0.26,29,1
37,32,1003,2410,0.7812,0.123,27,1
83,29,510,2994,0.768,0.154,26,1
93,28,563,3420,0.659,0.165,25,1
33,27,1000,1945,0.999,0.122,23,1
