n_by_len_uname,private,posts,followers,follows,fake
0.27,0,32,1000,955,0
0.0,0,286,2740,533,0
0.1,1,13,159,98,0
0.0,0,679,414,651,0
0.0,1,6,151,126,0
0.0,0,344,669987,150,0
0.0,0,16,122,177,0
0.0,0,33,1078,76,0
0.0,0,72,1824,2713,0
0.0,0,213,12945,813,0
0.0,0,648,9884,1173,0
0.0,0,76,1188,365,0
0.0,0,298,945,583,0
0.0,0,117,12033,248,0
0.0,0,487,1962,2701,0
0.0,0,254,50374,900,0
0.0,0,59,7007,289,0
0.29,0,1570,1128,694,0
0.0,0,378,34670,1878,0
0.0,0,526,2338,776,0
0.0,0,228,3516,999,0
0.0,1,35,1809,416,0
0.0,0,281,427,470,0
0.0,0,285,759,956,0
0.0,0,148,15338538,61,0
0.0,1,57,109,179,0
0.0,1,17,536,665,0
0.0,0,511,121354,176,0
0.0,0,230,2284,130,0
0.0,1,15,186,174,0
0.0,1,980,687,1517,0
0.13,1,53,966,952,0
0.0,1,111,177,170,0
0.0,0,719,744,967,0
0.0,0,1164,542073,674,0
0.18,0,497,5315651,2703,0
0.33,1,18,267,328,0
0.0,0,50,691,680,0
0.0,1,74,120,112,0
0.0,0,8,105,98,0
0.0,0,7389,890969,11,0
0.0,0,420,361853,583,0
0.0,0,433,3678,1359,0
0.0,0,156,92192,16,0
0.0,0,4494,12397719,8,0
0.0,0,751,380510,0,0
0.0,1,4,132,183,0
0.0,1,27,162,208,0
0.0,0,91,369,546,0
0.0,0,262,1476,666,0
0.0,0,274,1798,461,0
0.0,0,271,2118,1109,0
0.0,0,713,812,432,0
0.0,0,200,7217,761,0
0.0,0,12,313,376,0
0.12,0,26,64,261,0
0.0,0,75,1759,643,0
0.0,1,94,404,283,0
0.0,0,63,1843,598,0
0.12,0,69,320377,228,0
0.0,0,12,108,97,0
0.0,0,63,384,447,0
0.19,0,19,60,100,0
0.0,0,100,802,151,0
0.0,0,661,51145,528,0
0.0,0,149,1582,1882,0
0.0,0,22,223,266,0
0.0,0,400,18842,744,0
0.0,0,149,10240,1255,0
0.0,0,122,539,639,0
0.33,0,74,399,452,0
0.0,0,13,581,568,0
0.0,1,8,166,163,0
0.0,0,77,417,362,0
0.2,1,5,266,324,0
0.0,1,3,33,37,0
0.0,1,106,494,998,0
0.0,1,14,178,245,0
0.0,0,172,470,288,0
0.33,0,111,807,675,0
0.0,0,38,162,256,0
0.06,1,19,417,395,0
0.0,0,227,17303,360,0
0.0,0,221,1439,629,0
0.0,0,580,91446,526,0
0.0,0,40,824,489,0
0.0,0,101,741,1440,0
0.0,1,157,1267,899,0
0.0,0,197,4594,1713,0
0.0,0,61,1135,899,0
0.0,1,698,1926,1410,0
0.0,1,49,1068,1925,0
0.0,1,85,815,748,0
0.0,0,77,565,469,0
0.0,0,58,2556,1074,0
0.0,1,232,1312,935,0
0.0,0,20,699,599,0
0.0,0,98,4328,418,0
0.0,0,559,2487,999,0
0.0,0,189,673,438,0
0.0,1,388,730,413,0
0.0,1,28,59,55,0
0.0,1,156,289,222,0
0.0,1,6,19,20,0
0.0,0,69,3551,173,0
0.0,0,775,19512,591,0
0.0,0,205,2756,638,0
0.0,0,209,5406,589,0
0.0,1,334,459,390,0
0.0,0,9,218,75,0
0.0,0,6,796,1155,0
0.0,0,416,1113,1854,0
0.2,1,13,138,208,0
0.44,1,33,205,164,0
0.0,0,1,331,333,0
0.1,0,711,748,4659,0
0.0,0,114,490,1093,0
0.0,1,16,456,413,0
0.0,0,107,971,2047,0
0.24,0,5,497,438,0
0.14,1,7,99,132,0
0.0,1,21,193,413,0
0.0,0,65,492,689,0
0.29,0,10,167,164,0
0.0,1,59,99,178,0
0.0,1,137,916,1142,0
0.0,1,10,196,209,0
0.0,1,571,765,424,0
0.18,1,24,45,80,0
0.0,0,328,634,719,0
0.0,0,161,1383,7500,0
0.0,1,280,650,703,0
0.0,1,92,484,3296,0
0.0,0,31,200,270,0
0.0,0,0,192,65,0
0.0,1,25,553,610,0
0.0,0,921,27477,7202,0
0.0,1,1020,464,1039,0
0.0,0,301,1057,524,0
0.0,0,9,413,138,0
0.0,0,158,389,806,0
0.29,0,43,505,503,0
0.0,1,24,941,1208,0
0.0,1,60,2598,802,0
0.0,0,4,59,111,0
0.0,0,220,622,475,0
0.0,0,1159,2719,1061,0
0.36,0,8,216,305,0
0.22,0,396,881,375,0
0.08,0,38,870,72,0
0.0,1,1,265,371,0
0.15,1,2,1204,633,0
0.0,1,43,655,1016,0
0.0,0,131,1662,1065,0
0.14,0,7,14222,7399,0
0.0,0,57,483,1216,0
0.0,0,36,1204,2928,0
0.0,1,91,408,635,0
0.0,1,8,303,417,0
0.1,0,11,125,101,0
0.09,0,252,229,383,0
0.15,1,15,357,489,0
0.0,0,74,137,96,0
0.0,1,83,255,535,0
0.0,1,126,87,399,0
0.0,0,663,326946,3,0
0.0,1,0,114,446,0
0.0,1,10,167,387,0
0.0,1,8,1247,1196,0
0.0,0,24,585,1364,0
0.0,1,65,135,232,0
0.0,0,64,722,261,0
0.45,0,664,714,1159,0
0.0,0,130,39867,4664,0
0.0,1,131,533,1060,0
0.0,1,917,1158,3932,0
0.0,0,2,45834,280,0
0.0,0,142,876,529,0
0.09,0,165,3003,455,0
0.09,0,80,1298,407,0
0.0,1,32,3800,278,0
0.0,1,81,1358,127,0
0.0,0,334,6741307,111,0
0.38,0,8,791,456,0
0.0,0,373,732075,363,0
0.0,1,56,373,360,0
0.0,1,7,162,311,0
0.0,1,12,309,364,0
0.0,0,5,135,176,0
0.0,0,77,244,172,0
0.18,1,93,67,149,0
0.0,0,192,984,76,0
0.0,1,8,751,1223,0
0.0,1,145,781,529,0
0.0,0,135,1761,905,0
0.14,1,18,318,523,0
0.0,0,222,5282,652,0
0.0,0,222,5282,652,0
0.0,1,5,228,238,0
0.0,1,119,393,502,0
0.0,0,201,875,754,0
0.0,1,12,173,373,0
0.0,0,301,3896490,351,0
0.0,0,20,106,133,0
0.08,0,112,206,32,0
0.0,1,54,259,1371,0
0.0,1,98,1013,996,0
0.11,0,16,738,544,0
0.0,1,133,1008,517,0
0.0,0,142,2441,396,0
0.0,0,63,416,292,0
0.0,1,70,516,463,0
0.0,0,403,8711,345,0
0.0,0,15,433,584,0
0.0,0,990,18515,1000,0
0.0,1,12,70,67,0
0.22,0,26,5863,157,0
0.36,0,2,1677,716,0
0.0,0,24,617,272,0
0.0,0,411,31182,414,0
0.0,1,217,1152,292,0
0.15,0,156,8578,164,0
0.0,0,389,4347,748,0
0.0,1,8,319,335,0
0.0,1,3,189,177,0
0.0,1,22,743,331,0
0.18,0,59,11204,124,0
0.0,1,144,419,271,0
0.0,0,2,81,268,0
0.0,0,78,947,582,0
0.0,0,28,206,333,0
0.0,0,111,541,701,0
0.18,0,6,392,237,0
0.22,0,4,4177,3678,0
0.17,0,31,265,321,0
0.0,0,86,272,1486,0
0.0,0,240,425,917,0
0.0,1,11,150,178,0
0.0,1,44,711,673,0
0.0,1,9,89,121,0
0.0,1,62,742,653,0
0.0,0,0,96,50,0
0.0,1,15,77,107,0
0.0,1,53,195,395,0
0.0,1,2,9,13,0
0.0,0,52,10794,3164,0
0.19,0,1,104,15,0
0.0,1,62,318,569,0
0.18,0,247,355,137,0
0.31,1,9,99,488,0
0.0,0,13,300,372,0
0.15,0,204,139,61,0
0.0,1,0,13,77,0
0.22,1,51,606,430,0
0.0,0,15,428,333,0
0.0,0,108,494,545,0
0.24,1,353,1261,2187,0
0.0,1,5,68,87,0
0.0,0,560,205558,53,0
0.0,0,85,668,609,0
0.0,0,95,1456,555,0
0.14,0,14,410,387,0
0.0,1,52,298,555,0
0.0,1,7,254,345,0
0.0,0,197,1070,1072,0
0.17,1,89,1167,618,0
0.0,1,34,335,300,0
0.08,0,283,346,426,0
0.0,1,65,1746,1631,0
0.0,1,126,268,370,0
0.0,1,327,537,1002,0
0.0,1,42,805,488,0
0.0,0,36,1504,52,0
0.0,1,3,104,119,0
0.0,0,53,380,462,0
0.0,1,7,257,346,0
0.0,1,103,1775,7500,0
0.3,1,241,1456,1200,0
0.0,1,103,265,264,0
0.0,1,93,1051,694,0
0.11,0,1,77,34,0
0.0,1,16,220,323,0
0.07,1,32,178,81,0
0.0,1,1232,728,1213,0
0.0,1,75,668,294,0
0.0,0,5,406,408,0
0.0,0,3,37,22,0
0.0,1,30,56,114,0
0.33,1,35,488,604,0
0.0,1,3,35,6,0
0.0,1,319,328,668,0
0.0,1,273,14890,7369,0
0.5,1,6,225,356,0
0.0,1,6,362,424,0
0.0,1,9,213,254,0
0.0,1,19,552,521,0
0.0,1,17,122,143,0
0.0,1,9,834,358,0
0.0,1,53,229,492,0
0.14,1,97,1913,436,0
0.14,1,17,200,437,0
0.33,1,8,130,622,0
0.1,0,60,192,141,0
0.0,1,51,498,337,0
0.33,1,25,96,499,0
0.0,1,188,202,605,0
0.0,1,590,175,199,0
0.0,1,251,223,694,0
0.5,1,0,189,276,0
0.0,1,58,486,862,0
0.22,1,46,464,367,0
0.0,1,19,150,157,0
0.1,1,250,2983,545,0
0.0,1,28,116,138,0
0.0,0,1065,155537,1395,0
0.0,1,209,248,490,0
0.33,1,5,348,347,0
0.0,0,1879,4021842,5514,0
0.0,0,9,366,552,0
0.0,0,253,1064,573,0
0.0,0,90,81267,963,0
